clinic_name,clinician_name,role,measure_id,measure_name,num,den,collection_type,measure_type,high_priority,national_avg,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,decile_10,topped_out
Culinary Institute,Catnip,NP,236,Controlling High Blood Pressure,112,160,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Culinary Institute,Cayenne,PA,236,Controlling High Blood Pressure,186,261,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Culinary Institute,Celery,MD,236,Controlling High Blood Pressure,106,130,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Culinary Institute,Chervil,MD,236,Controlling High Blood Pressure,307,404,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Escoffier School,Chicory,PA,236,Controlling High Blood Pressure,60,76,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Escoffier School,Chives,MD,236,Controlling High Blood Pressure,237,320,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Escoffier School,Cilantro,MD,236,Controlling High Blood Pressure,143,201,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Escoffier School,Cinnamon,NP,236,Controlling High Blood Pressure,89,120,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Escoffier School,Clove,MD,236,Controlling High Blood Pressure,51,61,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Escoffier School,Coriander,MD,236,Controlling High Blood Pressure,238,326,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Escoffier School,Cumin,NP,236,Controlling High Blood Pressure,52,76,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Escoffier School,Dill,MD,236,Controlling High Blood Pressure,225,270,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Escoffier School,Fennel,PA,236,Controlling High Blood Pressure,85,113,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Escoffier School,Fenugreek,MD,236,Controlling High Blood Pressure,290,393,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Escoffier School,Ginger,MD,236,Controlling High Blood Pressure,44,63,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Escoffier School,Horehound,MD,236,Controlling High Blood Pressure,10,15,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Escoffier School,Horseradish,MD,236,Controlling High Blood Pressure,151,196,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Hattori Nutrition,Hyssop,MD,236,Controlling High Blood Pressure,242,375,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Hattori Nutrition,Lavender,MD,236,Controlling High Blood Pressure,224,318,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Hattori Nutrition,Licorice,NP,236,Controlling High Blood Pressure,184,252,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Hattori Nutrition,Lovage,MD,236,Controlling High Blood Pressure,210,387,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Hattori Nutrition,Mace,MD,236,Controlling High Blood Pressure,311,433,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Hattori Nutrition,Marjoram,MD,236,Controlling High Blood Pressure,129,194,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Boston University,Nutmeg,MD,236,Controlling High Blood Pressure,121,178,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Boston University,Oregano,MD,236,Controlling High Blood Pressure,423,599,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Boston University,Paprika,MD,236,Controlling High Blood Pressure,254,399,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Boston University,Parsley,MD,236,Controlling High Blood Pressure,273,419,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Boston University,Peppermint,MD,236,Controlling High Blood Pressure,246,342,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Boston University,Poppy,MD,236,Controlling High Blood Pressure,120,173,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Boston University,Rosemary,MD,236,Controlling High Blood Pressure,322,401,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Boston University,Rue,MD,236,Controlling High Blood Pressure,408,597,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Boston University,Saffron,MD,236,Controlling High Blood Pressure,80,106,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Culinary Arts Academy,Sage,NP,236,Controlling High Blood Pressure,14,29,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Culinary Arts Academy,Savory,NP,236,Controlling High Blood Pressure,1,2,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Culinary Arts Academy,Sesame,NP,236,Controlling High Blood Pressure,3,4,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Culinary Arts Academy,Sorrel,MD,236,Controlling High Blood Pressure,213,332,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Culinary Arts Academy,Staranise,MD,236,Controlling High Blood Pressure,208,286,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Culinary Arts Academy,Spearmint,MD,236,Controlling High Blood Pressure,234,328,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
La Cuisine Paris,Tarragon,MD,236,Controlling High Blood Pressure,371,538,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
La Cuisine Paris,Thyme,MD,236,Controlling High Blood Pressure,45,65,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
La Cuisine Paris,Turmeric,MD,236,Controlling High Blood Pressure,444,568,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
La Cuisine Paris,Vanilla,PA,236,Controlling High Blood Pressure,156,212,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
La Cuisine Paris,Wasabi,NP,236,Controlling High Blood Pressure,78,102,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
La Cuisine Paris,Cocoa,MD,236,Controlling High Blood Pressure,327,464,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
La Cuisine Paris,Zaatar,MD,236,Controlling High Blood Pressure,326,404,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Kendall College,Mastic,NP,236,Controlling High Blood Pressure,108,155,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Kendall College,Curry,MD,236,Controlling High Blood Pressure,184,306,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Kendall College,Fingerroot,MD,236,Controlling High Blood Pressure,169,250,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Kendall College,Jasmine,MD,236,Controlling High Blood Pressure,46,69,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Kendall College,Garlic,MD,236,Controlling High Blood Pressure,106,147,eCQM,Intermediate Outcome,Y,62.3,2.74 - 41.95,41.96 - 51.35,51.36 - 56.60,56.61 - 60.70,60.71 - 64.23,64.24 - 67.54,67.55 - 71.09,71.10 - 75.27,75.28 - 81.34,>= 81.35,No
Le Cordon Bleu,Allspice,MD,112,Breast Cancer Screening,76,100,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Le Cordon Bleu,Angelica,MD,112,Breast Cancer Screening,37,57,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Le Cordon Bleu,Anise,PA,112,Breast Cancer Screening,22,48,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Le Cordon Bleu,Bay,MD,112,Breast Cancer Screening,313,419,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Le Cordon Bleu,Basil,NP,112,Breast Cancer Screening,135,185,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Le Cordon Bleu,Barberry,NP,112,Breast Cancer Screening,149,232,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Le Cordon Bleu,Bergamot,MD,112,Breast Cancer Screening,199,269,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Le Cordon Bleu,Borage,MD,112,Breast Cancer Screening,166,219,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Culinary Institute,Caper,MD,112,Breast Cancer Screening,119,151,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Culinary Institute,Caraway,MD,112,Breast Cancer Screening,93,128,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Culinary Institute,Cardamom,NP,112,Breast Cancer Screening,403,594,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Culinary Institute,Cassia,NP,112,Breast Cancer Screening,178,258,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Culinary Institute,Catnip,NP,112,Breast Cancer Screening,132,175,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Culinary Institute,Cayenne,PA,112,Breast Cancer Screening,215,320,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Culinary Institute,Celery,MD,112,Breast Cancer Screening,30,50,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Culinary Institute,Chervil,MD,112,Breast Cancer Screening,88,120,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Escoffier School,Chicory,PA,112,Breast Cancer Screening,109,166,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Escoffier School,Chives,MD,112,Breast Cancer Screening,437,592,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Escoffier School,Cilantro,MD,112,Breast Cancer Screening,266,361,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Escoffier School,Cinnamon,NP,112,Breast Cancer Screening,116,171,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Escoffier School,Clove,MD,112,Breast Cancer Screening,72,93,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Escoffier School,Coriander,MD,112,Breast Cancer Screening,61,88,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Escoffier School,Cumin,NP,112,Breast Cancer Screening,101,155,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Escoffier School,Dill,MD,112,Breast Cancer Screening,79,117,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Escoffier School,Fennel,PA,112,Breast Cancer Screening,121,185,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Escoffier School,Fenugreek,MD,112,Breast Cancer Screening,501,646,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
Escoffier School,Ginger,MD,112,Breast Cancer Screening,73,101,eCQM,Process,N,50.99,0.27 - 9.22,9.23 - 27.55,27.56 - 39.41,39.42 - 48.17,48.18 - 54.83,54.84 - 60.56,60.57 - 66.81,66.82 - 73.30,73.31 - 82.04,>= 82.05,No
