practice_name,address,city,state,zip,medicare_date,phone_number
OMAHA TREATMENT CENTER LLC,11215 JOHN GALT BLVD,Omaha,Nebraska,68137-2319,12/7/2022,4025925900
METRO TREATMENT OF GEORGIA LP,1135 13TH ST,Columbus,Georgia,31901-2248,1/1/2020,7068875030
"PINNACLE TREATMENT CENTERS PA-VI, L",11127 PERRY HWY,Meadville,Pennsylvania,16335-6557,1/1/2020,8143377431
ETOWN ADDICTION SOLUTIONS LLC,2645 LEITCHFIELD RD,Elizabethtown,Kentucky,42701-8306,1/1/2020,2702348180
"BHG LI, LLC",4260 STOCKTON DR STE B,North Little Rock,Arkansas,72117-2915,1/1/2020,5016647833
BUFFALO BEACON CORPORATION,1508 GENESEE ST,Utica,New York,13502-5178,1/1/2020,3153671285
BUFFALO BEACON CORPORATION,303 W LIBERTY ST,Rome,New York,13440-5736,1/1/2020,3153671290
COMMUNITY ACTION AGAINST ADDICTION,5209 EUCLID AVE,Cleveland,Ohio,44103-3703,2/5/2020,2168810765x201
NORTHEAST TREATMENT CENTERS INC,3315 KIRKWOOD HWY,Wilmington,Delaware,19808-6131,1/12/2020,3026910140
SOUTHERN OKLAHOMA TREATMENT SERVICE,905 HOLIDAY DR,Ardmore,Oklahoma,73401-1216,1/1/2020,5802265003
MEDMARK TREATMENT CENTERS OF TEXAS,2210 WASHINGTON AVE,Waco,Texas,76701-1019,6/16/2020,2547556411
PRINCE GEORGE'S COUNTY HEALTH DEPAR,3003 HOSPITAL DR,Cheverly,Maryland,20785-1194,3/10/2020,3018837814
SYLVANUS MEMORIAL TREATMENT CENTER,734 HOSPITAL RD,Commerce,Georgia,30529-1142,12/27/2021,6785565969
"GLASS HEALTH PROGRAMS, INC.",1801 CHERRY HILL RD,Baltimore,Maryland,21230-3503,8/17/2022,4103542800
VIRGINIA TREATMENT CENTER INC,4000 MURRAY PL,Lynchburg,Virginia,24501-5004,1/1/2020,4344393283
DRD MANAGEMENT INC,626 BERNARD AVE,Knoxville,Tennessee,37921-6253,1/1/2020,8655220161
SACRED HEART REHAB CTR INC,19611 E 8 MILE RD,Saint Clair Shores,Michigan,48080-1655,1/1/2020,8107321652
SUNRISE DETOX MILLBURY LLC,29 MAIN ST,Millbury,Massachusetts,01527-2005,4/18/2023,5085815225
CECIL COMMUNITY RECOVERY CENTER LLC,409 W PULASKI HWY,Elkton,Maryland,21921-5218,8/9/2022,4432589696
"TOXICOLOGY ASSOCIATES, INC.",2411 FRANKLIN ST,La Marque,Texas,77568-6303,1/17/2022,4099353749
"TOXICOLOGY ASSOCIATES, INC.",4405 CAROLINE ST,Houston,Texas,77004-4909,1/17/2022,7135282071
"TOXICOLOGY ASSOCIATES, INC.",5233 IH 37,Corpus Christi,Texas,78408-2518,1/17/2022,3618822064
"TOXICOLOGY ASSOCIATES, INC.",6910 BELLAIRE BLVD,Houston,Texas,77074-3547,1/17/2022,7135413218
METRO TREATMENT OF NEW HAMPSHIRE LP,100 HALL ST,Concord,New Hampshire,03301-3408,1/1/2020,6032294260
BAART BEHAVIORAL HEALTH SERVICES IN,1926 BEVERLY BLVD,Los Angeles,California,90057-2402,1/1/2020,2133531140
ALDIE FOUNDATION,11 WELDEN DRIVE,Doylestown,Pennsylvania,18901-2359,1/1/2020,2153458530x107
ADVANCED TREATMENT SYSTEMS LLC,1825 E LINCOLN HWY,Coatesville,Pennsylvania,19320-2407,1/1/2020,6104669250
CITY OF PORTSMOUTH,1811 KING ST,Portsmouth,Virginia,23704-3032,1/11/2020,7573935404
CAMDEN TREATMENT ASSOCIATES LLC,508 ATLANTIC AVE,Camden,New Jersey,08104-1108,1/1/2020,8563381811
TEXAS TREATMENT SERVICES LLC,571 SPENCER LN,San Antonio,Texas,78201-2030,4/2/2020,2107364405
METHADONE CLINIC OF EAST TEXAS LLC,1510 S VINE AVE,Tyler,Texas,75701-2826,1/1/2020,8645589317
"APT FOUNDATION, INC",54 RAMSDELL ST,New Haven,Connecticut,06515-1616,1/1/2020,2037814600
VICTA LLC,110 ELMWOOD AVE,Providence,Rhode Island,02907-2423,1/28/2020,4013005757
RELAX BEHAVIORAL HEALTH LLC,2809 POINSETTIA AVE,West Palm Beach,Florida,33407,10/30/2020,5614699934
NEW LIFE HEALTH AUTHORITY,280 E STANDLEY ST,Ukiah,California,95482-4414,8/24/2021,7074660001
GLENWOOD LIFE COUNSELING CENTER INC,516 GLENWOOD AVE,Baltimore,Maryland,21212-4230,1/1/2020,4103239811
JAMESTOWN S'KLALLAM TRIBE,526 S 9TH AVE,Sequim,Washington,98382-3626,10/15/2022,3606817755
CONNECTICUT COUNSELING CENTERS INC,4 MIDLAND RD,Waterbury,Connecticut,06705-3412,1/1/2020,2037558874
SACRED HEART REHAB CTR INC,2091 PROFESSIONAL DR,Flint,Michigan,48532-3657,1/1/2020,8107321652
AEGIS TREATMENT CENTERS LLC,1343 W MAIN ST,Merced,California,95340-4438,1/1/2020,2097251060
ATS OF DELAWARE LLC,2999 PHILADELPHIA PIKE,Claymont,Delaware,19703-2507,1/1/2020,3027920700
AEGIS TREATMENT CENTERS LLC,8626 LOWER SACRAMENTO RD,Stockton,California,95210-1835,1/1/2020,2094782487
SOUTH BROOKLYN MEDICAL ADMINISTRATI,685 3RD AVE,Brooklyn,New York,11232-1108,1/1/2020,7187882594x117
"METRO TREATMENT OF FLORIDA, LP",7207 N NEBRASKA AVE,Tampa,Florida,33604-4916,1/1/2020,8132367551
MEDMARK TREATMENT CENTERS OF ALABAM,9283 W US 84,Newton,Alabama,36352-8207,1/1/2020,3346924455
CROSSROADS TREATMENT CENTER OF CHAR,2470 MALL DR,North Charleston,South Carolina,29406-6514,1/1/2020,8008056989
THE COMMUNITY ACTION ORGANIZATION O,1237 MAIN ST,Buffalo,New York,14209-2111,1/9/2020,7168849101
FAMILY GUIDANCE CENTERS INC,310 W CHICAGO AVE,Chicago,Illinois,60654-5106,4/1/2020,2246597030
"RESOURCES FOR HUMAN DEVELOPMENT, IN",316 DEKALB ST,Norristown,Pennsylvania,19401-4906,3/1/2020,6102723710
WESTERN PACIFIC MED-CORP,4838 LAUREL CANYON BLVD,North Hollywood,California,91607-3717,1/1/2020,8185064455
AEGIS TREATMENT CENTERS LLC,1019 JEFFERSON ST,Delano,California,93215-2238,1/1/2020,6617210463
TADISO INCORPORATED,1425 BEAVER AVE,Pittsburgh,Pennsylvania,15233-2313,10/23/2021,4124916329
"GARFIELD COUNSELING CENTER, INC.",4132 W MADISON ST,Chicago,Illinois,60624-2303,4/20/2021,7735330433x212
METRO TREATMENT OF UTAH LP,763 W 700 S,Woods Cross,Utah,84087-1438,1/1/2020,8012922318
METRO TREATMENT OF MINNESOTA LP,524 25TH AVE N,Saint Cloud,Minnesota,56303-3255,1/1/2020,3202021909
METRO TREATMENT OF GEORGIA LP,6500 MCDONOUGH DR,Norcross,Georgia,30093-1235,1/1/2020,7702427865
"CLEAR CHOICES, LLC",373 CLEVELAND ST,Rochester,Pennsylvania,15074-1623,1/25/2020,7247757905
CROSSROADS TREATMENT CENTER OF ASHE,6 ROBERTS RD,Asheville,North Carolina,28803-6631,1/1/2020,8008056989
"CLARKSBURG TREATMENT CENTER, LLC",706 OAKMOUND RD,Clarksburg,West Virginia,26301-9398,1/1/2020,3046227511
"MORSE CLINIC OF ROANOKE RAPIDS, PC",608 JACKSON ST,Roanoke Rapids,North Carolina,27870-2600,1/1/2020,2525414175
"METRO TREATMENT OF MISSISSIPPI, LP",1989 PASS RD,Biloxi,Mississippi,39531-4103,1/1/2020,2282071248
ETANO CENTER,3956 E PIMA ST,Tucson,Arizona,85712-3315,1/1/2020,5203253323
"LAKE COUNTY CENTER, LLC",310 S GREENLEAF STREET,Gurnee,Illinois,60031-5708,10/1/2021,8475998902
COMPDRUG,547 E 11TH AVE,Columbus,Ohio,43211-2603,1/1/2020,6142244506x236
THERAPEUTIC INTERVENTIONS INC,1645 HICKS RD,Rolling Meadows,Illinois,60008-1222,10/5/2020,8479914800
MERIDIAN BEHAVIORAL HEALTHCARE INC,4310 SW 13TH ST,Gainesville,Florida,32608-4006,1/1/2020,3523745600
ALDIE FOUNDATION,2291 CABOT BLVD W,Langhorne,Pennsylvania,19047-1806,1/1/2020,2156423230
"HOWARDCENTER, INC.",75 SAN REMO DR,South Burlington,Vermont,05403-6385,1/1/2020,8024886000
DRD MANAGEMENT INC,404 E BATTLEFIELD ST,Springfield,Missouri,65807-4802,1/1/2020,4178658045
"WTCR ABILENE, INC.",212 S LEGGETT DR,Abilene,Texas,79605-1628,1/1/2020,3256709339
CENTER FOR BEHAVIORAL INDIANA INC,3910 LIMA RD,Fort Wayne,Indiana,46805-1031,1/1/2020,2604206010
AEGIS TREATMENT CENTERS LLC,955 W CENTER ST,Manteca,California,95337-7300,1/1/2020,2092399600
SWINOMISH HEALTH SERVICES,8212 S MARCH POINT RD,Anacortes,Washington,98221-8684,6/10/2020,3605882800
"TTC, LLC",4204 EDMONTON DR,Bessemer,Alabama,35022-4878,1/1/2020,2054251200
NEW SEASON AKRON,1900 W MARKET ST,Akron,Ohio,44313-6927,12/31/2020,2349012590
COMMUNITY MEDICAL SERVICES ARIZONA,213 E MONROE AVE,Buckeye,Arizona,85326-2704,1/1/2020,6232331330
CENTER FOR BEHAVIORAL HEALTH HA LLC,3601 N PROGRESS AVE,Harrisburg,Pennsylvania,17110-9100,1/1/2020,7172337290
SAINT FRANCIS HOSPITAL AND MEDICAL,500 BLUE HILLS AVE,Hartford,Connecticut,06112-1500,3/1/2020,8607142549
THERAPEUTIC HEALTH SERVICES,16715 AURORA AVE N,Shoreline,Washington,98133-5310,3/27/2023,2065469766
S T E P MED INC,2929 MARTIN LUTHER KING JR BLVD,Dallas,Texas,75215-2322,1/1/2020,2144219100
"APT FOUNDATION, INC",495 CONGRESS AVE,New Haven,Connecticut,06519-1312,1/1/2020,2037814600x1703
"BD HEALTH SERVICES, INC",3955 OLD NORTH POINT RD,Dundalk,Maryland,21222-2840,1/1/2020,4432427937
METRO TREATMENT OF GEORGIA LP,2357 TOBACCO RD,Augusta,Georgia,30906-9220,1/1/2020,7067723855
METRO TREATMENT OF NEW MEXICO LP,630 HAINES AVE NW,Albuquerque,New Mexico,87102-1226,1/1/2020,5052685611
HUMAN SERVICE CENTER,3420 N ROCHELLE LN,Peoria,Illinois,61604-1035,1/1/2020,3092222185
