overdose_type,overdose_type_num,deathsper100k,demographic_name,demographic_detail,demographic_detail_num,year,age_group,estimate
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2017,All ages,31.6
all overdoses,0,age_adjusted,gender and race,Male: White,4.1,2018,All ages,29.9
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,1999,All ages,11.5
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2000,All ages,10.8
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2001,All ages,11.0
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2002,All ages,11.5
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2003,All ages,11.3
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2004,All ages,11.1
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2005,All ages,12.8
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2006,All ages,15.2
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2007,All ages,13.0
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2008,All ages,11.3
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2009,All ages,10.8
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2010,All ages,10.1
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2011,All ages,11.0
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2012,All ages,11.3
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2013,All ages,12.9
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2014,All ages,13.8
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2015,All ages,16.8
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2016,All ages,24.0
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2017,All ages,29.7
all overdoses,0,age_adjusted,gender and race,Male: Black or African American,4.2,2018,All ages,30.9
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,1999,All ages,5.7
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2000,All ages,6.1
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2001,All ages,5.9
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2002,All ages,8.2
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2003,All ages,9.4
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2004,All ages,11.2
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2005,All ages,10.8
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2006,All ages,13.0
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2007,All ages,10.5
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2008,All ages,13.5
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2009,All ages,14.2
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2010,All ages,11.8
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2011,All ages,12.9
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2012,All ages,12.8
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2013,All ages,12.9
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2014,All ages,15.9
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2015,All ages,16.0
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2016,All ages,17.7
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2017,All ages,19.7
all overdoses,0,age_adjusted,gender and race,Male: American Indian or Alaska Native,4.3,2018,All ages,21.3
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,1999,All ages,1.5
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2000,All ages,1.4
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2001,All ages,1.6
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2002,All ages,1.9
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2003,All ages,1.7
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2004,All ages,2.1
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2005,All ages,2.2
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2006,All ages,2.3
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2007,All ages,2.2
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2008,All ages,2.1
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2009,All ages,2.8
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2010,All ages,2.5
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2011,All ages,3.2
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2012,All ages,3.1
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2013,All ages,3.2
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2014,All ages,3.3
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2015,All ages,4.1
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2016,All ages,4.7
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2017,All ages,5.2
all overdoses,0,age_adjusted,gender and race,Male: Asian or Pacific Islander,4.4,2018,All ages,5.7
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,1999,All ages,4.0
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2000,All ages,4.3
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2001,All ages,4.9
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2002,All ages,6.2
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2003,All ages,6.9
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2004,All ages,7.5
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2005,All ages,8.0
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2006,All ages,9.0
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2007,All ages,9.8
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2008,All ages,10.1
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2009,All ages,10.3
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2010,All ages,10.9
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2011,All ages,11.7
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2012,All ages,11.6
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2013,All ages,12.1
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2014,All ages,12.7
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2015,All ages,13.6
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2016,All ages,15.2
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2017,All ages,16.3
all overdoses,0,age_adjusted,gender and race,Female: White,4.5,2018,All ages,15.2
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,1999,All ages,3.9
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2000,All ages,4.1
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2001,All ages,4.4
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2002,All ages,5.0
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2003,All ages,5.2
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2004,All ages,5.5
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2005,All ages,6.0
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2006,All ages,6.3
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2007,All ages,6.3
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2008,All ages,5.4
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2009,All ages,5.6
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2010,All ages,5.7
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2011,All ages,5.9
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2012,All ages,6.0
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2013,All ages,6.3
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2014,All ages,7.0
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2015,All ages,7.5
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2016,All ages,10.0
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2017,All ages,11.2
all overdoses,0,age_adjusted,gender and race,Female: Black or African American,4.6,2018,All ages,11.1
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,1999,All ages,4.6
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2000,All ages,3.7
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2001,All ages,5.2
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2002,All ages,5.6
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2003,All ages,7.3
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2004,All ages,7.9
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2005,All ages,8.6
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2006,All ages,7.9
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2007,All ages,9.9
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2008,All ages,8.8
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2009,All ages,9.6
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2010,All ages,9.7
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2011,All ages,10.7
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2012,All ages,12.2
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2013,All ages,11.6
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2014,All ages,11.2
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2015,All ages,11.3
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2016,All ages,13.1
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2017,All ages,12.7
all overdoses,0,age_adjusted,gender and race,Female: American Indian or Alaska Native,4.7,2018,All ages,12.8
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,1999,All ages,1.0
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2000,All ages,0.8
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2001,All ages,0.8
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2002,All ages,1.1
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2003,All ages,1.2
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2004,All ages,1.1
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2005,All ages,1.3
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2006,All ages,1.4
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2007,All ages,1.6
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2008,All ages,1.3
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2009,All ages,1.3
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2010,All ages,1.5
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2011,All ages,1.6
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2012,All ages,1.4
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2013,All ages,1.5
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2014,All ages,1.7
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2015,All ages,1.5
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2016,All ages,1.8
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2017,All ages,2.0
all overdoses,0,age_adjusted,gender and race,Female: Asian or Pacific Islander,4.8,2018,All ages,2.1
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,1999,All ages,8.6
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2000,All ages,7.1
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2001,All ages,6.7
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2002,All ages,8.0
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2003,All ages,8.3
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2004,All ages,7.5
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2005,All ages,8.4
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2006,All ages,9.1
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2007,All ages,8.7
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2008,All ages,8.4
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2009,All ages,8.2
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2010,All ages,7.6
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2011,All ages,8.1
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2012,All ages,8.5
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2013,All ages,9.2
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2014,All ages,9.3
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2015,All ages,10.9
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2016,All ages,13.9
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2017,All ages,15.9
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Hispanic or Latino: All races,5.1,2018,All ages,16.6
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,1999,All ages,8.0
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2000,All ages,8.6
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2001,All ages,9.6
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2002,All ages,11.6
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2003,All ages,12.9
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2004,All ages,13.7
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2005,All ages,14.7
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2006,All ages,17.2
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2007,All ages,18.0
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2008,All ages,18.3
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2009,All ages,18.3
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2010,All ages,19.0
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2011,All ages,20.5
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2012,All ages,20.4
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2013,All ages,21.4
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2014,All ages,23.2
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2015,All ages,26.2
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2016,All ages,32.7
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2017,All ages,35.8
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: White,5.2,2018,All ages,33.5
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,1999,All ages,11.5
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2000,All ages,10.9
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2001,All ages,11.2
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2002,All ages,11.7
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2003,All ages,11.6
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2004,All ages,11.4
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2005,All ages,13.0
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2006,All ages,15.7
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2007,All ages,13.3
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2008,All ages,11.6
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2009,All ages,11.1
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2010,All ages,10.5
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2011,All ages,11.3
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2012,All ages,11.6
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2013,All ages,13.3
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2014,All ages,14.2
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2015,All ages,17.3
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2016,All ages,24.7
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2017,All ages,30.8
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: Black,5.3,2018,All ages,32.0
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: American Indian or Alaska Native,5.4,1999,All ages,6.7
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: American Indian or Alaska Native,5.4,2000,All ages,6.7
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: American Indian or Alaska Native,5.4,2001,All ages,7.5
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: American Indian or Alaska Native,5.4,2002,All ages,10.0
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: American Indian or Alaska Native,5.4,2003,All ages,12.2
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: American Indian or Alaska Native,5.4,2004,All ages,14.7
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: American Indian or Alaska Native,5.4,2005,All ages,14.9
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: American Indian or Alaska Native,5.4,2006,All ages,17.6
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: American Indian or Alaska Native,5.4,2007,All ages,14.5
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: American Indian or Alaska Native,5.4,2008,All ages,19.6
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: American Indian or Alaska Native,5.4,2009,All ages,21.5
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: American Indian or Alaska Native,5.4,2010,All ages,19.0
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: American Indian or Alaska Native,5.4,2011,All ages,20.5
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: American Indian or Alaska Native,5.4,2012,All ages,20.1
all overdoses,0,age_adjusted,gender race and ethnicity,Male: Not Hispanic or Latino: American Indian or Alaska Native,5.4,2013,All ages,19.9
